DateTime,AddedIPs,RemovedIPs
1617382837,15,0
1617386436,7,1
1617390029,1,0
1617393638,2,2
1617397237,1,0
1617400837,1,0
1617404426,1,1
1618009232,34,25
1618016433,1,0
1618081233,6,3
1618084837,0,1
1618092037,1,0
1618102837,0,1
1618106436,1,0
1618110040,1,1
1618113632,1,1
1618120838,0,1
1618135237,0,1
1618138837,0,1
1618142437,0,2
1618149627,1,1
1618156831,0,2
1618164034,0,2
1618185638,7,3
1618196437,0,1
1618203637,1,1
1618207224,0,1
1618218036,0,1
1618221630,0,1
1618228808,0,5
1618232439,0,1
1618236032,0,2
1618243233,0,1
1618246833,1,1
1618250436,0,1
1618254037,0,1
1618257637,0,1
1618261237,0,2
1618279237,0,1
1618286436,2,0
1618300837,1,2
1618304432,1,2
1618308032,0,2
1618344036,1,1
1618347632,1,1
1618354832,2,1
1618358438,0,2
1618365639,9,1
1618369232,8,0
1618372840,3,0
1618383633,1,0
1618387233,0,1
1618390838,0,1
1618394437,0,1
1618398033,0,1
1618423238,2,1
1618480839,2,3
1618495232,1,0
1618498838,1,1
1618509633,0,1
1618524031,1,0
1618563639,0,1
1618567236,0,1
1618585238,1,0
1618596033,0,1
1618599636,0,1
1618606836,1,0
1618610436,0,1
1618632041,1,0
1618642843,0,1
1618653641,0,2
1618678843,0,1
1618682440,2,0
1618696834,0,1
1618704037,0,1
1618711236,1,0
1618718440,0,1
1618729239,1,0
1618736440,1,0
1618740039,0,1
1618747233,0,1
1618779608,0,1
1618815632,1,1
1618837234,1,0
1618862430,1,0
1618873232,0,1
1618876837,1,1
1618891237,1,0
1618912838,0,2
1618948832,1,0
1618952433,4,0
1618959636,1,0
1618966838,1,0
1618970437,0,1
1618977631,1,0
1618981230,1,0
1618984833,0,1
1619002840,0,1
1619006440,0,1
1619013608,0,1
1619017228,0,3
1619028034,0,2
1619035237,1,0
1619038826,0,1
1619042441,1,0
1619060440,0,1
1619071239,0,2
1619078437,1,0
1619089233,0,2
1619103632,0,1
1619114437,0,1
1619125224,0,1
1619143237,1,0
1619161223,1,1
1619172033,0,1
1619179227,1,0
1619182841,0,4
1619186438,1,0
1619190039,2,0
1619197238,0,1
1619208033,1,0
1619226030,0,1
1619236832,0,1
1619244036,1,0
1619247631,0,2
1619262031,0,1
1619265630,1,0
1619301637,0,1
1619319634,0,1
1619326838,0,1
1619334038,1,0
1619352029,0,1
1619355631,0,1
1619362833,1,0
1619366434,1,0
1619373639,0,1
1619391627,0,1
1619416832,0,1
1619424041,0,1
1619438437,1,0
1619449236,1,0
1619456410,0,1
1619474438,1,0
1619478040,0,1
1619485238,0,2
1619492429,0,1
1619499637,0,1
1619514031,0,1
1619524831,1,0
1619528430,2,0
1619532039,0,1
1619539237,0,2
1619546432,2,0
1619550008,0,1
1619553634,1,1
1619568038,2,0
1619571628,0,1
1619593237,0,1
1619596833,1,0
1619636433,0,1
1619640032,0,1
1619650838,0,1
1619661609,0,1
1619665233,1,1
1619668830,2,1
1619690429,0,1
1619712036,0,1
1619722838,1,1
1619730038,0,1
1619733633,1,1
1619737228,0,1
1619751631,0,1
1619784040,0,1
1619791209,1,0
1619794832,1,0
1619798433,1,3
1619802032,0,2
1619820038,0,1
1619823636,1,0
1619834434,0,1
1619838038,0,1
1619845233,0,1
1619859634,1,1
1619899237,0,2
1619924430,0,1
1620039634,0,1
1620043239,0,1
1620061238,0,1
1620079237,0,1
1620093630,0,1
1620097231,0,1
1620104410,1,0
1620133237,1,2
1620140434,1,0
1620147634,1,1
1620151210,1,0
1620154837,0,1
1620162038,2,2
1620187216,0,1
1620201638,0,1
1620223238,1,0
1620241230,1,1
1620244807,0,1
1620248429,1,0
1620262829,2,1
1620291629,0,1
1620295235,0,1
1620338436,0,1
1620349236,0,1
1620367233,0,1
1620370836,1,0
1620388833,1,0
1620399636,0,1
1620403217,0,1
1620414031,0,1
1620417622,0,1
1620439233,1,0
1620446436,2,0
1620464432,0,1
1620468032,1,0
1620478835,1,0
1620532836,1,0
1620536433,1,0
1620540036,1,0
1620576036,1,0
1620579608,1,0
1620586836,3,0
1620590428,3,0
1620604836,3,0
1620651635,0,1
1620691229,1,0
1620698431,1,0
1620709235,0,1
1620712835,0,1
1620763235,0,1
1620766832,0,1
1620774035,1,0
1620777632,0,1
1620781235,1,0
1620820836,0,1
1620824431,1,0
1620831635,0,1
1620838836,0,2
1620856835,0,1
1620864031,1,0
1620900032,0,1
1620954037,0,1
1620964832,1,0
1620975632,0,1
1620997233,0,1
1621000832,0,1
1621044036,0,1
1621054837,1,0
1621058437,1,0
1621062035,0,1
1621083635,0,1
1621119632,0,1
1621123237,0,1
1621144833,0,2
1621155633,0,1
1621198832,0,1
1621209635,0,2
1621238432,0,1
1621242036,0,1
1621256409,1,0
1621267238,0,1
1621299637,0,1
1621303238,0,3
1621342836,1,0
1621350031,1,0
1621353638,1,0
1621375237,1,1
1621389629,1,0
1621393237,0,1
1621396829,1,0
1621407631,0,1
1621429233,0,1
1621436410,0,1
1621450838,0,1
1621458034,1,0
1621461637,0,1
1621490432,2,0
1621494016,0,1
1621522832,1,0
1621544410,1,0
1621591209,1,0
1621605634,1,1
1621620008,0,1
1621634438,1,0
1621659637,0,1
1621663233,0,1
1621688437,1,0
1621692037,5,0
1621695634,7,1
1621699234,3,0
1621702834,1,0
1621774838,0,1
1621789237,1,0
1621828835,0,1
1621850433,0,1
1621918809,0,1
1621933232,0,1
1621944040,1,0
1621947635,0,1
1621951235,2,0
1621954838,0,1
1621965639,1,0
1621983639,0,1
1621994435,1,0
1622005238,1,0
1622026837,0,1
1622034032,1,0
1622037631,0,1
1622041238,2,0
1622070034,0,1
1622106010,0,1
1622113239,1,0
1622120431,2,0
1622134809,1,2
1622196036,0,1
1622210434,0,1
1622217637,0,1
1622239233,1,0
1622242823,2,0
1622246433,1,0
1622250037,1,0
1622253633,1,0
1622275237,0,1
1622289634,0,1
1622300430,0,1
1622311237,0,1
1622314837,0,1
1622332835,1,0
1622354433,0,1
1622365237,1,0
1622397637,0,1
1622408437,1,0
1622412034,2,1
1622419233,1,0
1622440838,0,1
1622444433,0,1
1622451634,0,1
1622466033,0,1
1622484033,0,1
1622487633,0,1
1622491238,0,2
1622502037,0,1
1622516431,0,1
1622530834,1,0
1622552434,0,1
1622556033,1,0
1622559634,1,0
1622566837,0,3
1622577637,0,1
1622581233,0,1
1622599233,1,0
1622602837,4,0
1622606434,2,0
1622628037,2,0
1622646010,0,2
1622653237,1,0
1622660434,0,1
1622664015,1,0
1622671228,1,0
1622678435,1,1
1622685635,0,1
1622714435,1,0
1622721639,0,1
1622725238,1,0
1622736035,1,0
1622750438,1,0
1622757614,0,1
1622768438,2,0
1622804437,1,0
1622840435,1,0
1622851234,0,1
1622854811,0,1
1622858434,1,0
1622869235,1,2
1622890834,1,0
1622944834,0,1
1622973631,0,1
1622995232,1,0
1623020438,0,1
1623045631,0,1
1623049239,0,1
1623056438,0,1
1623088838,0,1
1623110439,2,1
1623117634,0,1
1623139240,0,1
1623150034,0,1
1623207639,0,2
1623232839,0,1
1623236439,0,1
1623243638,0,1
1623258039,0,1
1623265239,0,1
1623279638,0,1
1623283238,0,1
1623286839,0,1
1623290439,1,0
1623294038,1,0
1623319227,0,1
1623326435,0,1
1623340840,1,0
1623362424,0,1
1623398439,0,1
1623409212,0,1
1623412835,0,1
1623420010,0,1
1623430825,1,0
1623448840,1,0
1623474040,0,2
1623520835,0,1
1623524439,0,1
1623542440,0,1
1623560410,1,0
1623596439,1,0
1623614435,0,1
1623646839,0,1
1623672040,1,0
1623715236,1,0
1623722436,0,1
1623754840,1,0
1623765637,1,0
1623772840,0,1
1623783640,1,0
1623787237,1,0
1623801637,0,1
1623805235,1,0
1623812436,0,1
1623823240,1,0
1623844836,1,0
1623852037,0,1
1623866426,1,0
1623888028,0,2
1623898834,2,0
1623927637,1,0
1623931225,9,0
1623934841,5,0
1623938435,8,0
1623942041,2,0
1623945634,1,0
1623949225,1,0
1623956437,1,0
1623960041,1,1
1623963637,1,0
1623970840,1,0
1623981637,1,0
1624003237,1,0
1624014054,1,0
1624024831,1,0
1624053616,0,1
1624093235,0,1
1624122033,1,0
1624136435,1,0
1624140035,0,1
1624176033,1,0
1624183235,1,0
1624212037,1,1
1624215635,3,0
1624219235,0,1
1624230028,1,0
1624233638,2,0
1624312839,0,2
1624323614,1,0
1624352435,1,0
1624381239,0,1
1624410031,1,1
1624413638,1,0
1624428033,1,1
1624464030,0,1
1624471235,0,1
1624478434,0,1
1624503639,1,0
1624514438,0,1
1624539639,0,2
1624546835,0,2
1624550438,0,1
1624572039,0,2
1624579238,0,1
1624590037,2,0
1624597228,0,2
1624608014,0,1
